# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,label
2573,16687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2951,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1427,9349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5197,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5198,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
